filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates_1 (172).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me dy komplete te aparateve profesionale per kafe,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"7 480,00"
b08_njoftim_per_dhenje_te_kontrates (880).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me aparate për shuarjen e zjarreve fillestare dhe rimbushja e tyre,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"3,992.50"
b08_njoftim_per_dhenje_te_kontrates_1 (105).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i infrastrukturës në disa rrugë të fshatit Hajvali dhe të fshatit Mramor në Prishtinë-PUNE,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"53.245,60"
b08_njoftim_per_dhenje_te_kontrates (183).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizimi me material elektrik,matrial hidrosanitar, material te bravarise,vegla dhe rroba pune per",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (479).pdf,KUVENDI I KOMUNES SE PRISHTINES,Sigurimi fizik për objektet QKMF dhe QMU,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"123 087,15"
b08_njoftim_per_dhenje_te_kontrates (496).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"11 940,00"
transporti_i_nxeneseve_dhe_arsimtareve_ne_komunen_e_prishtines_18.03.2025.pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"8,784.00"
b08_njoftim_per_dhenje_te_kontrates (615).pdf,KUVENDI I KOMUNES SE PRISHTINES,Hartimi i Zgjidhjes urb-arkitektonike e ndërlidhjes së lagjes “Kalabria” me lagjen “Dardania ”,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"218,429.80"
b08_njoftim_per_dhenje_te_kontrates (245).pdf,KUVENDI I KOMUNES SE PRISHTINES,Servisimi dhe mirembajtja e automjeteve te QKMF-se dhe QMU-se,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (750).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i parkut ne Kalabri- Faza II,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"480,507.00"
b08_njoftim_per_dhenje_te_kontrates_1 (1).pdf,KUVENDI I KOMUNES SE PRISHTINES,Rregullimi i oborrit te objekteve me banim social ne Hajvali,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"196.579,09"
b08_njoftim_per_dhenje_te_kontrates (300).pdf,KUVENDI I KOMUNES SE PRISHTINES,Zgjerimi i rrjetit te senzoreve te cilesise se ajrit dhe avansimi i rrjetit ekzistues RITENDER,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (54).pdf,KUVENDI I KOMUNES SE PRISHTINES,""" Sanimi i kanalizimeve fekale primare dhe sekondare, ne territorin e Komunes se Prishtines""",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (584).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me paisje kabinetike dhe mjete të punës për praktik profesionale SHML Abdyl Frasheri',Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"37,600.00"
b08_njoftim_per_dhenje_te_kontrates_1 (152).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i rrugeve ne pjesen urbane me infrastrukture percjellese,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"59 085,24"
b08_njoftim_per_dhenje_te_kontrates (838).pdf,KUVENDI I KOMUNES SE PRISHTINES,109 Ndërtimi i rrjetit të kanalizimeve fekale në tërë fshatrat e Komunës së Prishtinës-ritender,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"542,593.82"
b08_njoftim_per_dhenje_te_kontrates_1 (294).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i Pilotave Betonarme në lagjen Kalabri,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"238,664.18"
b08_njoftim_per_dhenje_te_kontrates (212).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Mirembajtja dimerore e rrugeve dhe trotuareve,deblllokimi i kanalizimeit atmosferik",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (642).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i rrugës A - pjesa e parë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"8,497,801.66"
b08_njoftim_per_dhenje_te_kontrates (357).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me drunje dekorativ,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"5 600,00"
